From,To,Time,Price
Adarsh Nagar,AZADPUR,2,10
AZADPUR,MODEL TOWN,2,10
MODEL TOWN,GURU TEG BAHADUR NAGAR,2,10
GURU TEG BAHADUR NAGAR,VISHWAVIDYALAYA,2,10
VISHWAVIDYALAYA,VIDHAN SABHA,2,10
VIDHAN SABHA,CIVIL LINES,2,10
CIVIL LINES,KASHMERE GATE,2,10
KASHMERE GATE,CHANDNI CHOWK,2,10
CHANDNI CHOWK,CHAWRI BAZAR,2,10
CHAWRI BAZAR,NEW DELHI (Yellow & Airport Line),2,10
NEW DELHI (Yellow & Airport Line),RAJIV CHOWK,2,10
RAJIV CHOWK,PATEL CHOWK,2,10
PATEL CHOWK,CENTRAL SECRETARIAT,2,10
CENTRAL SECRETARIAT,UDYOG BHAWAN,2,10
UDYOG BHAWAN,LOK KALYAN MARG,2,10
LOK KALYAN MARG,JOR BAGH,2,10
JOR BAGH,DILLI HAAT - INA,2,10
DILLI HAAT - INA,AIIMS,2,10
AIIMS,GREEN PARK,2,10
GREEN PARK,HAUZ KHAS,3,10
HAUZ KHAS,MALVIYA NAGAR,3,10
MALVIYA NAGAR,Saket,2,10
Saket,Qutab Minar,3,10
NEW DELHI (Yellow & Airport Line),SHIVAJI STADIUM ,3,20
SHIVAJI STADIUM ,DHAULA KUAN,5,20
DHAULA KUAN,DELHI AEROCITY,5,20
Shivaji Park,Punjabi Bagh West,2,30
Punjabi Bagh West,Punjabi Bagh,2,30
Punjabi Bagh,ASHOK PARK MAIN,2,10
ASHOK PARK MAIN,INDERLOK,3,10
INDERLOK,SATGURU RAM SINGH MARG,3,10
SATGURU RAM SINGH MARG,KIRTI NAGAR,2,10
TERMINAL 1-IGI AIRPORT,SHANKAR VIHAR,3,20
SHANKAR VIHAR,VASANT VIHAR,3,20
VASANT VIHAR,MUNIRKA,3,10
MUNIRKA,R.K.PURAM,2,10
R.K.PURAM,IIT,2,10
IIT,HAUZ KHAS,2,10
HAUZ KHAS,PANCHSHEEL PARK,3,10
PANCHSHEEL PARK,CHIRAG DELHI,2,10
CHIRAG DELHI,GREATER KAILASH,2,10
GREATER KAILASH,NEHRU ENCLAVE,2,10
NEHRU ENCLAVE,KALKAJI MANDIR,2,10
KALKAJI MANDIR,OKHLA NSIC,2,10
OKHLA NSIC,SUKHDEV VIHAR,2,10
SUKHDEV VIHAR,JAMIA MILLIA ISLAMIA,2,10
JAMIA MILLIA ISLAMIA,OKHLA VIHAR,2,10
OKHLA VIHAR,JASOLA VIHAR SHAHEEN BAGH,5,10
JASOLA VIHAR SHAHEEN BAGH,KALINDI KUNJ,5,20
KALINDI KUNJ,OKHLA BIRD SANCTUARY,2,10
OKHLA BIRD SANCTUARY,BOTANICAL GARDEN,3,20
Kohat Enclave,Netaji Subhash Place,2,10
Netaji Subhash Place,KESHAV PURAM,2,10
KESHAV PURAM,KANHAIYA NAGAR ,2,10
KANHAIYA NAGAR ,INDERLOK,2,10
INDERLOK,SHASTRI NAGAR,2,10
SHASTRI NAGAR,PRATAP NAGAR,2,10
PRATAP NAGAR,PULBANGASH,2,10
PULBANGASH,TIS HAZARI,2,10
TIS HAZARI,KASHMERE GATE,2,10
KASHMERE GATE,SHASTRI PARK,2,10
SHASTRI PARK,SEELAMPUR,2,10
SEELAMPUR,WELCOME,2,10
WELCOME,SHAHDARA,2,10
SHAHDARA,MANSAROVAR PARK,2,10
MANSAROVAR PARK,JHILMIL,2,10
JHILMIL,DILSHAD GARDEN,2,10
MAJLIS PARK,AZADPUR,4,10
AZADPUR,SHALIMAR BAGH,3,10
SHALIMAR BAGH,NETAJI SUBHASH PLACE,3,10
NETAJI SUBHASH PLACE,SHAKURPUR,3,10
SHAKURPUR,PUNJABI BAGH WEST,3,10
PUNJABI BAGH WEST,ESI-BASAIDARAPUR,3,10
